title,venue,date,time,artist,program,image_link
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Youth Symphony Orchestra of Ukraine,"Claude Debussy (1862–1918)
Prélude à l'après-midi d'un faune",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Youth Symphony Orchestra of Ukraine,"Edward Elgar (1857–1934)
",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Youth Symphony Orchestra of Ukraine,"Borys Ljatoschynskyj (1895–1968)
Slavic Suite",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Youth Symphony Orchestra of Ukraine,"Ottorino Respighi (1879–1936)
Pini di Roma",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Oksana Lyniv,"Claude Debussy (1862–1918)
Prélude à l'après-midi d'un faune",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Oksana Lyniv,"Edward Elgar (1857–1934)
",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Oksana Lyniv,"Borys Ljatoschynskyj (1895–1968)
Slavic Suite",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
Youth Symphony Orchestra of Ukraine,"KKL Luzern, Concert Hall",Tue 13.08,19.30,Oksana Lyniv,"Ottorino Respighi (1879–1936)
Pini di Roma",https://www.lucernefestival.ch/media/thumbnails/filer_public/7e/8c/7e8cc114-18d2-4b2e-a504-686db42a430b/youth_symphony_orchestra_of_ukraine_lyniv2_c_mutesouvenir_kaibienert.jpg__744x744_q85_crop_subject_location-1470%2C847_subsampling-2_upscale.jpg
European Union Youth Orchestra,"KKL Luzern, Concert Hall",Wed 14.08,19.30,European Union Youth Orchestra,"Carlos Simon (*1986)
Fate Now Conquers",https://www.lucernefestival.ch/media/thumbnails/filer_public/df/4f/df4f34e3-6bd0-460b-bb06-05f7f7c4ffc4/euyo_2023_sven-kristian_wolf.jpg__744x744_q85_crop_subject_location-2912%2C1764_subsampling-2_upscale.jpg
European Union Youth Orchestra,"KKL Luzern, Concert Hall",Wed 14.08,19.30,European Union Youth Orchestra,"Benjamin Britten (1913–1976)
The Young Person’s Guide to the Orchestra",https://www.lucernefestival.ch/media/thumbnails/filer_public/df/4f/df4f34e3-6bd0-460b-bb06-05f7f7c4ffc4/euyo_2023_sven-kristian_wolf.jpg__744x744_q85_crop_subject_location-2912%2C1764_subsampling-2_upscale.jpg
